productName,brandName,productPrice,productDescription,productStock,productCategory,productSubCategory,coverImage,images,Color,Size,Materials,Sort,note,,,,,,,,,,,,
Kaku tray,Art craft bau Studio,"VND 650,000","Align the angles of the borders to stack them.

Stacking is an idea design that uses an angle attached to the frame. And I finished it with an oil coating that doesn't spoil the feel of the material. Although it is a little weak for scratches and so on, its luster is conservative due to its intrusiveness, so the scratch is unexpectedly hard to stand out, and it tastes rather later. It is a moisturizing cream that prevents ventilation and protects the wood. Get even deeper texture with simple oil care.",23,Homeware,Tableware,kaku-tray-t01.jpg,"kaku-tray-d01.jpg,kaku-tray-d02.jpg,kaku-tray-d03.jpg,kaku-tray-d04.jpg,kaku-tray-d05.jpg,kaku-tray-d06.jpg,kaku-tray-d08.jpg,kaku-tray-d11.jpg,kaku-tray-m02.jpg,kaku-tray-m03.jpg,kaku-tray-m04.jpg,kaku-tray-m05.jpg",Walnut,Medium,Wood,,,,,,,,,,,,,,
Cara Plate,TAKAHASHI KOUGEI,"VND 320,000","For a café-like atmosphere.

In addition to plates, cara also has a lineup of cups and bowls. Coordinate your favorite items with large and small plates to create a stylish café-like atmosphere in an instant. The reason why the water runs out so fast after washing and the color and smell are hard to migrate is because it is coated with high-quality polyurethane paint for tableware. Also, it's light and hard to break, so it's perfect for the outdoors.",21,Homeware,Tableware,plate-t01.jpg,"plate-d01.jpg,plate-d02.jpg,plate-d03.jpg,plate-d06.jpg,plate-d08.jpg,plate-d11.jpg,plate-d12.jpg,plate-m01.jpg,plate-m02.jpg,plate-m03.jpg,plate-m04.jpg,plate-m05.jpg",Bashwood,Small,Wood,,,4 units,,,,,,,,,,,
Key hanger,DREAMY PERSON,"VND 199,000","A cone-shaped hook with the hanging item not falling.

The shape is also ideal for hanging a necklace. The cone-shaped hook that spreads toward the front prevents the hanging item from falling, and furthermore, it is a funny design that is easy to take out. Furniture made from the same material is not an easy-to-afford price, but it seems like you can easily enjoy it with this kind of small item, doesn't it? Even though it's small, it feels luxurious, and it's something for everyone to use, so it's a dish I'd like to recommend as a gift as well.",15,Homeware,Entrance,key-hanger-t01.jpg,"key-hanger-d01.jpg,key-hanger-d02.jpg,key-hanger-d03.jpg,key-hanger-d04.jpg,key-hanger-d07.jpg,key-hanger-d08.jpg,key-hanger-d09.jpg,key-hanger-d10.jpg,key-hanger-d11.jpg,key-hanger-d12.jpg,key-hanger-m02.jpg,key-hanger-m03.jpg,key-hanger-m04.jpg,key-hanger-m05.jpg","Oak, Walnut",Small,Wood,,,,,,,,,,,,,,
Slippers stand,Art craft bau Studio,"VND 599,000","Compact and easy to use, stylish slipper storage.

If you look only at the product, you may not think it as a slipper stand. But if you look closely, you can see that they are crafted with particular attention to detail with simple design. Also, the partition in the middle of the top is convenient to hold when moving. This stylish slipper stand was born at the Art Craft BAU Workshop in Asahikawa City. Materials containing knot holes and cracks that are difficult to use for furniture are transformed into wonderful crafts with masterful skills and ideas",25,Homeware,Entrance,slipper-stand-t01.jpg,"slipper-stand-d01.jpg,slipper-stand-d02.jpg,slipper-stand-d03.jpg,slipper-stand-d05.jpg,slipper-stand-d06.jpg,slipper-stand-d07.jpg,slipper-stand-d08.jpg,slipper-stand-d09.jpg,slipper-stand-d10.jpg,slipper-stand-d11.jpg,slipper-stand-d12.jpg,slipper-stand-m01.jpg,slipper-stand-m02.jpg,slipper-stand-m03.jpg,slipper-stand-m04.jpg,slipper-stand-m05.jpg","Oak, Walnut",Small,Wood,,,,,,,,,,,,,,
Slipper & shoe rack,cosine,"VND 599,000","Four bars and an X-shaped frame. Easy assembly.

The slipper compartment can be retracted by hooking a shoe spatula (sold separately) or a shoe-polishing brush, etc. on the side. Assembly requires only four bars attached to the X-shaped frame, and no screwdriver, etc. Hang the included hex wrench together with the bag and tighten it from time to time.",17,Homeware,Entrance,slipper-rack-t01.jpg,"slipper-rack-d01.jpg,slipper-rack-d02.jpg,slipper-rack-d03.jpg,slipper-rack-d04.jpg,slipper-rack-d05.jpg,slipper-rack-d06.jpg,slipper-rack-d07.jpg,slipper-rack-d08.jpg,slipper-rack-d09.jpg,slipper-rack-d10.jpg,slipper-rack-d11.jpg,slipper-rack-d12.jpg,slipper-rack-m01.jpg,slipper-rack-m02.jpg,slipper-rack-m03.jpg,slipper-rack-m04.jpg,slipper-rack-m05.jpg","Oak, Walnut",Small,Wood,,,,,,,,,,,,,,
Slipper rack,kochi,"VND 599,000","Available in two sizes to suit the installation location and interior design

In addition to the two types of materials, a total of four patterns are available: six-foot storage in the width 76cm and two four-foot storage in 52cm. It also comes with screws for wall mounting, making it even easier to clean and take out with ""floating storage"". With its warm grain and sleek design, it is recommended not only for home use, but also for businesses, stores, hospitals, and other facilities. It is also a great way to celebrate the opening of a new building or store.",28,Homeware,Entrance,slipper-rack1-t02.jpg,"slipper-rack1-d01.jpg,slipper-rack1-d02.jpg,slipper-rack1-d03.jpg,slipper-rack1-d04.jpg,slipper-rack1-d05.jpg,slipper-rack1-d06.jpg,slipper-rack1-d09.jpg,slipper-rack1-d11.jpg,slipper-rack1-d12.jpg,slipper-rack1-m02.jpg,slipper-rack1-m03.jpg,slipper-rack1-m04.jpg,slipper-rack1-m05.jpg","Oak, Walnut",Small,Wood,,,,,,,,,,,,,,
Caro Pendant,Moare,"VND 8,017,200","The attractive pendant lights give you an extraordinary feeling and blend well with any interior design, both Japanese and Western.",32,Homeware,Light,pendant-t01.jpg,"pendant-d01.jpg,pendant-d04.jpg,pendant-d05.jpg,pendant-d06.jpg,pendant-d07.jpg,pendant-d08.jpg,pendant-d10.jpg,pendant-d11.jpg,pendant-d12.jpg,pendant-m01.jpg,pendant-m02.jpg,pendant-m03.jpg,pendant-m04.jpg","Cedar, Walnut",Medium,Wood,Popular,,,,,,,,,,,,,
tipo Pendant,Moare,"VND 5,868,400",The appeal of Tipo stands is their wide variety. I would recommend this to anyone who loves decor.,40,Homeware,Light,pendant1-t01.jpg,"pendant1-d01.jpg,pendant1-d02.jpg,pendant1-d03.jpg,pendant1-d04.jpg,pendant1-d05.jpg,pendant1-d06.jpg,pendant1-d07.jpg,pendant1-d10.jpg,pendant1-d11.jpg,pendant1-d12.jpg,pendant1-m02.jpg,pendant1-m03.jpg,pendant1-m04.jpg,pendant1-m05.jpg","Transparent, Cedart, Green, Walnut",Medium,Wood,,,,,,,,,,,,,,
take5 Floor stand light,Moare,"VND 15,165,700","These stylish floor lights create an extraordinary feeling, reminiscent of a room in a high-class hotel.",18,Homeware,Light,floor-stand-t01.jpg,"floor-stand-d01.jpg,floor-stand-d02.jpg,floor-stand-d03.jpg,floor-stand-d04.jpg,floor-stand-d05.jpg,floor-stand-d06.jpg,floor-stand-m02.jpg,floor-stand-m03.jpg,floor-stand-m04.jpg,floor-stand-m05.jpg","Black, White",Medium,Wood,New,,,,,,,,,,,,,
Floor stand round,cosine,"VND 12,481,570","Pay attention to the simple design, the floor standing lamp that can feel the temperature of the wood.",5,Homeware,Light,floor-stand1-t02.jpg,"floor-stand1-d01.jpg,floor-stand1-d02.jpg,floor-stand1-d03.jpg,floor-stand1-d04.jpg,floor-stand1-d05.jpg,floor-stand1-d09.jpg,floor-stand1-d11.jpg,floor-stand1-m02.jpg,floor-stand1-m03.jpg,floor-stand1-m04.jpg,floor-stand1-m05.jpg",White,Medium,Wood,,,,,,,,,,,,,,
No.1100 Center table,Hamamoto kogei,"VND 9,000,000","Heavy but soft design

The design is a great blend of robustness and elegance that adds a sophisticated touch to any living space. The rounded edges bring softness to the space and create a friendly atmosphere. Its unique shape blends naturally with a variety of interior styles, from modern to classic. The surface of the table is very smooth and aesthetically pleasing, and its graceful molding stands out from every angle. You will feel its quality design and durability every time you use it.",25,Living Room,Table,no1100-center-t-t01.jpg,"no1100-center-t-d01.jpg,no1100-center-t-d02.jpg,no1100-center-t-d03.jpg,no1100-center-t-d04.jpg,no1100-center-t-d05.jpg,no1100-center-t-d07.jpg,no1100-center-t-d08.jpg,no1100-center-t-d11.jpg,no1100-center-t-d12.jpg,no1100-center-t-m02.jpg,no1100-center-t-m03.jpg,no1100-center-t-m04.jpg,no1100-center-t-m05.jpg",Oak,Large,"Wood, Hokkaido Leather",,,,,,,,,,,,,,
Oval table,Wakaba furniture,"VND 8,980,000","A tapered leg that creates a stylish and light impression

Taper refers to a design that gradually becomes thin toward the floor. It has a more stylish feel than a straight leg, and it's finished lightly in reality as well as maybe it looks thinner. Top panel on the top of the round leg is also elliptical, and even the side should be particular about dropping the corner. The size is easy for small children to use, so we give special consideration to safety. A soft feel no matter where you touch it will not hurt your child's delicate skin.",17,Living Room,Table,nagamaru-table-t01.jpg,"nagamaru-table-d01.jpg,nagamaru-table-d03.jpg,nagamaru-table-d04.jpg,nagamaru-table-d05.jpg,nagamaru-table-d07.jpg,nagamaru-table-d11.jpg,nagamaru-table-d12.jpg,nagamaru-table-m01.jpg,nagamaru-table-m02.jpg,nagamaru-table-m03.jpg,nagamaru-table-m04.jpg,nagamaru-table-m05.jpg",Oak,Medium,Wood,,,,,,,,,,,,,,
DUAL Circle center table,MARUKEI,"VND 8,250,000","Beautiful top panel from grain to enhance the luxury

One of the great features is the beautiful top panel of grain. Use walnut or white ash for top panel. Both tree species have been well-crafted to make grain look beautiful. White ash is also available in natural-color and black. Even if wood is used as the material, it is not easy to produce furniture that makes the most of the goodness of wood, but the dual circle center table brings out the warmth of wood and the atmosphere that can never be brought out in artificial object",30,Living Room,Table,circle-c-table-t01.jpg,"circle-c-table-d01.jpg,circle-c-table-d02.jpg,circle-c-table-d03.jpg,circle-c-table-d04.jpg,circle-c-table-d08.jpg,circle-c-table-m02.jpg,circle-c-table-m03.jpg,circle-c-table-m04.jpg,circle-c-table-m05.jpg",Walnut,Medium,Wood,,,,,,,,,,,,,,
